City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,georgetown,5.4112,100.3354,304.79,71,40,1.54,MY,1706070068
230,abashiri,44.0213,144.2697,270.31,74,75,2.57,JP,1706070069
231,salmas,38.1973,44.7653,267.89,94,100,2.43,IR,1706070069
232,murudeshwara,14.0943,74.4845,298.09,56,9,0.7,IN,1706070069
233,lillehammer,61.1146,10.4674,271.9,98,100,1.97,NO,1706070069
234,ormara,25.2088,64.6357,295.33,25,0,2.63,PK,1706070070
235,veracruz,19.3333,-96.6667,292.67,91,3,1.34,MX,1706070000
236,port alfred,-33.5906,26.891,291.58,86,9,0.89,ZA,1706070070
237,san luis de la loma,17.2706,-100.8939,297.94,76,4,2.24,MX,1706070070
238,hotan,37.0997,79.9269,268.91,40,15,1.39,CN,1706070070
239,kangding,30.0513,101.9603,276.54,49,37,1.04,CN,1706070071
240,kapuskasing,49.4169,-82.4331,262.2,79,100,4.12,CA,1706070071
241,nichinan,31.6,131.3667,279.97,54,56,7.8,JP,1706070071
242,remire-montjoly,4.9167,-52.2667,298.17,94,75,2.06,GF,1706070071
243,stephenville,32.2207,-98.2023,282.46,97,100,0.45,US,1706070072
244,sisimiut,66.9395,-53.6735,259.29,93,100,3.16,GL,1706070072
245,miandrivazo,-19.5167,45.4667,299.88,84,87,1.12,MG,1706070072
246,agios nikolaos,35.1914,25.7133,286.35,60,78,6.41,GR,1706070072
247,buzau,45.15,26.8333,271.41,73,26,0.49,RO,1706070072
248,coronel marcelino mariduena,-2.2,-79.4167,298.62,91,86,0.96,EC,1706070072
249,lebu,-37.6167,-73.65,287.47,81,0,7.27,CL,1706070073
250,mpika,-11.8343,31.4529,289.43,99,96,1.83,ZM,1706070073
251,guerrero negro,27.9769,-114.0611,289.44,78,0,6.82,MX,1706070073
252,udachny,66.4167,112.4,249.66,93,44,4.69,RU,1706070073
253,petropavlovsk-kamchatsky,53.0452,158.6483,268.48,85,75,3.0,RU,1706070073
254,kutum,14.2,24.6667,286.6,28,12,3.82,SD,1706070074
255,bardai,11.65,7.2333,289.1,17,27,4.26,NG,1706070074
256,agapovka,53.2973,59.1348,255.89,99,98,1.08,RU,1706070074
257,morant bay,17.8815,-76.4093,298.94,80,3,7.37,JM,1706070075
258,mamfe,5.754,9.3123,295.72,76,0,0.28,CM,1706070075
259,al markaz,25.4,49.7333,287.48,35,2,5.33,SA,1706070075
260,san antonio de pale,-1.4014,5.6325,300.55,80,1,3.6,GQ,1706070075
261,ephrata,40.1798,-76.1788,277.06,76,100,1.54,US,1706070075
262,homer,59.6425,-151.5483,268.08,55,0,3.6,US,1706069898
263,weno,7.4515,151.8468,303.12,79,100,3.6,FM,1706070076
264,maturin,9.75,-63.1767,296.06,100,6,1.54,VE,1706070076
265,luganville,-15.5333,167.1667,302.49,76,100,2.58,VU,1706070076
266,mar del plata,-38.0023,-57.5575,293.68,84,0,5.81,AR,1706069822
267,taradale,-39.5333,176.85,294.27,52,54,3.13,NZ,1706070076
268,hasaki,35.7333,140.8333,282.2,29,53,10.88,JP,1706069796
269,hermanus,-34.4187,19.2345,291.37,85,23,6.01,ZA,1706070077
270,kampene,-3.6,26.6667,293.55,98,98,0.57,CD,1706070077
271,visby,57.6409,18.296,276.27,93,100,8.23,SE,1706070077
272,uporovo,56.3109,66.2693,253.13,97,11,2.48,RU,1706070078
273,morehead city,34.7229,-76.726,288.15,84,100,0.89,US,1706070053
274,kitui,-1.367,38.0106,290.79,69,98,1.24,KE,1706070078
275,nakamura,32.9833,132.9333,275.53,83,100,6.26,JP,1706070078
276,korla,41.7597,86.1469,266.74,53,6,0.54,CN,1706070079
